#{"t_start": 1672759231.849795, "env_id": "TestEnvironment-v1"}
r,l,t
0.617758,200,3.104499
7.917207,200,9.331497
1.693985,200,17.014002
12.682733,200,24.870002
14.773393,200,32.242497
0.048639,200,39.762674
14.824248,200,47.883998
9.807425,200,55.563499
0.607362,200,63.066998
0.286489,200,70.050497
0.42516,200,76.833
0.049778,200,83.971999
0.128974,200,91.685502
0.454056,200,99.257998
3.079185,200,106.300997
0.212684,200,114.180999
1.295653,200,120.759501
0.606299,200,127.378
9.581752,200,135.304497
13.606114,200,142.579499
7.665425,200,149.499497
17.245929,200,156.397497
11.09549,200,163.622498
1.490142,200,170.633997
1.177775,200,177.652497
6.807825,200,184.949997
18.241291,200,192.111503
1.695772,200,199.145498
15.545696,200,206.668998
0.802547,200,213.897501
2.814029,200,221.052999
0.109446,200,228.495499
12.323474,200,235.231498
6.403285,200,242.207999
4.209162,200,249.637568
4.658524,200,257.313498
18.488225,200,264.471002
0.065784,200,271.593998
0.539693,200,278.741499
2.036402,200,285.391718
13.225521,200,291.832998
0.104155,200,298.580998
18.274702,200,305.2405
0.226762,200,311.744498
2.253103,200,318.551502
1.562267,200,325.535997
11.106146,200,332.393997
1.809626,200,339.369061
2.371934,200,346.215998
18.425925,200,352.756498
6.203476,200,359.468997
0.383971,200,366.27605
1.079079,200,372.948501
16.293225,200,379.642498
6.289295,200,385.952497
4.59384,200,392.928498
17.736312,200,399.341498
16.841075,200,406.343498
0.543274,200,413.373497
0.098907,200,420.186498
12.953275,200,426.858002
1.036661,200,433.857549
2.409997,200,440.449497
14.482915,200,447.105498
1.18867,200,454.554752
