#{"t_start": 1673880204.1853688, "env_id": "TestEnvironment-v1"}
r,l,t
76.805604,100,147.251487
77.177995,100,147.600266
55.934989,100,147.946537
75.795465,100,148.397664
70.294288,100,148.762742
76.119939,100,149.115026
67.440278,100,149.460226
50.712607,100,149.83142
90.774859,100,150.221841
78.335039,100,150.572022
96.397682,100,150.961044
96.099683,100,151.395037
79.015521,100,151.754328
63.125932,100,152.108927
66.794212,100,152.471651
78.086974,100,152.822992
44.898187,100,153.161725
78.898367,100,153.503334
50.628265,100,153.861391
60.198498,100,154.292514
66.305771,100,154.67263
60.595838,100,155.037339
83.359725,100,155.47052
79.85309,100,155.871541
65.766952,100,156.267964
97.461831,100,156.662915
78.111192,100,157.014325
69.772413,100,157.374038
65.300479,100,157.725798
93.957242,100,158.123648
68.325137,100,158.548001
73.332863,100,158.93766
78.04643,100,159.30694
47.300828,100,159.674192
62.651286,100,160.023258
57.437856,100,160.382202
65.048614,100,160.734074
78.188226,100,161.0906
75.380274,100,161.470912
65.821982,100,161.832446
78.085769,100,162.175764
80.537042,100,162.520148
80.417388,100,162.866387
53.029146,100,163.226382
76.170992,100,163.591223
80.167797,100,163.942688
79.262579,100,164.294462
64.336004,100,164.66138
81.069539,100,165.046458
50.328601,100,165.397817
65.620501,100,165.776851
97.801037,100,166.179296
79.298932,100,166.540088
79.070055,100,166.891976
89.189673,100,167.304485
80.16694,100,167.659348
58.89421,100,168.020191
69.453426,100,168.386208
78.84954,100,168.761096
92.55345,100,169.1775
74.682793,100,169.534372
77.802272,100,169.891852
60.215801,100,170.287488
80.335279,100,170.69791
82.823363,100,171.098876
86.525519,100,171.484002
81.689008,100,171.845119
79.570497,100,172.222604
54.684195,100,172.574758
93.842275,100,172.988135
86.89201,100,173.380847
59.682003,100,173.737164
80.494993,100,174.098332
81.690786,100,174.445363
81.665582,100,174.796659
60.080911,100,175.163198
77.277183,100,175.509696
78.40033,100,175.86797
69.019769,100,176.230262
79.665594,100,176.592919
80.349793,100,176.989612
75.0645,100,177.342426
86.946609,100,177.72822
68.264559,100,178.096403
66.860683,100,178.443424
70.539463,100,178.792755
63.26803,100,179.138109
60.232002,100,179.481615
90.499303,100,179.86885
77.475842,100,180.212674
59.459729,100,180.562151
96.377517,100,180.951469
79.71939,100,181.303061
79.798243,100,181.664295
75.260165,100,182.032555
58.355711,100,182.385014
75.676006,100,182.734254
76.164421,100,183.081703
98.48515,100,183.488865
80.965081,100,183.84124
66.345629,100,184.214187
87.399156,100,184.591396
54.682513,100,184.953254
75.699666,100,185.391639
78.286176,100,185.792516
56.212301,100,186.229247
54.056246,100,186.616849
53.468938,100,187.109137
69.404678,100,187.532365
75.692207,100,187.88466
72.139024,100,188.231691
75.37607,100,188.575479
90.546477,100,188.972366
54.228381,100,189.329168
79.048551,100,189.695594
89.764613,100,190.094099
70.902964,100,190.454058
66.052745,100,190.821086
75.853133,100,191.187256
87.578779,100,191.588451
75.091221,100,191.998452
