#{"t_start": 1677146291.60092, "env_id": "TestEnvironment-v1"}
r,l,t
67.405865,100,126.495116
67.352279,100,126.757991
68.342678,100,127.024568
67.046556,100,127.293872
66.921453,100,127.561437
67.637703,100,127.842453
49.331629,100,128.108992
58.285735,100,128.385158
65.064964,100,128.653143
63.594603,100,128.940253
66.744824,100,129.237345
68.342505,100,129.536208
40.291158,100,129.805959
40.901788,100,130.076611
67.702746,100,130.348618
67.234034,100,130.616274
69.980497,100,130.896827
57.742814,100,131.167627
69.880954,100,131.441538
67.84478,100,131.733332
45.643865,100,132.004088
29.786292,100,132.297464
64.056133,100,132.630923
63.954893,100,132.902112
70.328946,100,133.179565
39.575719,100,133.489802
67.775957,100,133.769503
68.531574,100,134.037308
48.643744,100,134.305126
68.895588,100,134.579546
52.766146,100,134.852239
76.808422,100,135.140723
30.251796,100,135.426171
69.477276,100,135.731375
54.978041,100,136.001342
37.559865,100,136.282151
59.140889,100,136.554892
60.835834,100,136.877771
71.363886,100,137.147301
68.720286,100,137.418735
72.288906,100,137.774499
68.202021,100,138.148779
62.789101,100,138.452995
65.07959,100,138.767419
73.213982,100,139.066595
31.86734,100,139.329752
70.168807,100,139.601925
67.400345,100,139.89024
34.963077,100,140.158564
62.427401,100,140.434282
60.850791,100,140.710227
55.614422,100,140.985896
45.642866,100,141.284348
75.616272,100,141.603202
65.703289,100,141.875198
68.664276,100,142.153042
36.774522,100,142.430669
65.566948,100,142.698833
63.462389,100,142.990009
75.130471,100,143.283716
73.490346,100,143.576473
72.302475,100,143.853526
59.299604,100,144.124236
76.817752,100,144.482115
63.900536,100,144.781689
69.214745,100,145.081424
67.940808,100,145.379778
73.644182,100,145.659095
70.994861,100,145.938816
63.398213,100,146.220965
72.683557,100,146.498569
73.727631,100,146.779964
67.992565,100,147.049503
69.064537,100,147.34228
72.974253,100,147.639161
70.823385,100,147.911598
73.990047,100,148.206718
37.754141,100,148.4803
71.28666,100,148.760187
27.310284,100,149.034292
69.461527,100,149.31887
64.014984,100,149.585374
61.415121,100,149.854789
67.629082,100,150.121536
71.762178,100,150.387714
70.980664,100,150.659402
54.421451,100,150.934682
63.263913,100,151.237225
70.803308,100,151.544392
70.342844,100,151.857462
57.465246,100,152.148564
70.741618,100,152.430488
63.014071,100,152.697922
70.691534,100,153.029034
52.160293,100,153.362092
31.212613,100,153.634086
71.645432,100,153.913175
60.072993,100,154.220529
59.918501,100,154.487622
70.324265,100,154.763119
58.707729,100,155.033061
