#{"t_start": 1683635334.1691422, "env_id": "TestEnvironment-v1"}
r,l,t
75.668607,100,190.37896
35.427108,100,190.852391
41.560103,100,191.34049
20.404392,100,191.832444
47.160755,100,192.344232
53.140057,100,192.872653
39.074624,100,193.528145
41.851217,100,194.044755
26.529977,100,194.70974
14.530859,100,195.290244
33.202645,100,195.826427
23.612182,100,196.319225
39.548667,100,196.882303
39.158756,100,197.374958
50.194097,100,197.991126
38.714678,100,198.506538
83.128593,100,199.117552
33.598317,100,199.652877
33.572179,100,200.237288
32.11175,100,200.832603
34.574155,100,201.478824
50.13544,100,202.039
28.942938,100,202.540845
54.044023,100,203.093183
43.504324,100,203.615715
35.164125,100,204.168662
74.666817,100,204.757279
80.68849,100,205.362837
41.119193,100,205.923529
36.840313,100,206.419203
45.081488,100,207.002872
16.608216,100,207.567634
41.156297,100,208.10337
39.033496,100,208.705859
33.7636,100,209.267686
34.051518,100,209.83081
41.152003,100,210.406255
43.09919,100,210.955314
33.120351,100,211.517515
38.080027,100,212.073832
41.634674,100,212.638282
82.83823,100,213.254126
48.157818,100,213.811536
45.663704,100,214.371028
83.013989,100,214.983813
79.902031,100,215.594445
41.550556,100,216.178554
32.923686,100,216.850054
49.528958,100,217.360743
53.660888,100,217.938998
34.034374,100,218.489109
55.581713,100,219.149836
42.968498,100,219.731743
36.778864,100,220.419577
41.006926,100,221.007693
49.251466,100,221.640969
32.22943,100,222.195702
42.665347,100,222.873405
45.783856,100,223.461263
66.526742,100,224.034974
76.671087,100,224.602905
86.993759,100,225.290446
65.092228,100,225.781609
31.836218,100,226.266624
60.813217,100,226.824322
45.035242,100,227.313391
44.911483,100,227.806134
46.205685,100,228.334313
84.935935,100,228.875593
43.683838,100,229.373942
48.450453,100,229.8774
44.821162,100,230.376685
39.425132,100,230.87872
73.666499,100,231.383253
70.97812,100,231.909405
57.602083,100,232.454724
83.287212,100,232.969851
56.561858,100,233.482574
64.197905,100,233.978782
60.667159,100,234.501259
32.203903,100,234.963121
31.591615,100,235.43241
46.188738,100,235.924876
76.640736,100,236.443325
42.040081,100,236.925683
53.440276,100,237.426333
83.694211,100,237.942932
55.677925,100,238.411642
75.987111,100,238.957631
42.167573,100,239.525544
79.579233,100,240.100074
45.582376,100,240.589391
72.476461,100,241.073254
46.162928,100,241.639289
47.858102,100,242.119841
36.83645,100,242.609758
38.234251,100,243.111644
71.621275,100,243.616398
72.520309,100,244.141567
33.857283,100,244.704299
65.776188,100,245.575076
36.645785,100,246.290092
75.443467,100,246.988595
34.821516,100,247.577854
72.50979,100,248.126333
51.87949,100,248.659852
41.817323,100,249.201913
43.16833,100,249.766273
39.652063,100,250.315211
37.313349,100,250.857269
75.441115,100,251.386227
50.051075,100,251.877773
67.768023,100,252.37864
81.280139,100,252.996358
44.387196,100,253.526355
41.416545,100,254.050999
48.225471,100,254.617822
64.903308,100,255.166058
66.528911,100,255.709307
73.362441,100,256.227459
72.744843,100,256.782824
72.154504,100,257.347619
44.716998,100,257.91325
70.215532,100,258.428406
40.041622,100,258.98334
73.264161,100,259.572015
77.96062,100,260.13014
66.39217,100,260.666402
79.881385,100,261.220459
78.596019,100,261.83173
41.706052,100,262.481673
30.347181,100,263.062078
69.167387,100,263.654362
72.819943,100,264.338779
43.285189,100,264.93714
28.3583,100,265.482201
49.834964,100,266.027304
75.496607,100,266.593892
42.647045,100,267.182249
41.903372,100,267.802655
41.488122,100,268.386028
49.615734,100,268.960748
65.878612,100,269.55541
36.651847,100,270.137154
53.242584,100,270.849931
47.475203,100,271.481882
47.487805,100,272.041787
48.325878,100,272.528306
76.565644,100,273.056679
77.145224,100,273.691577
40.150593,100,274.345202
50.726195,100,274.989266
52.840962,100,275.556647
81.766756,100,276.317778
71.838017,100,276.839781
56.576631,100,277.33839
80.953903,100,277.891307
79.001738,100,278.473384
74.763335,100,279.010704
47.611985,100,279.585816
77.581024,100,280.110767
66.999988,100,280.703399
75.813936,100,281.317587
81.528976,100,281.864938
70.86174,100,282.355578
41.399462,100,282.864262
43.003218,100,283.371346
55.877928,100,283.951582
68.193783,100,284.608632
45.329004,100,285.231263
46.949702,100,285.816821
67.005288,100,286.460556
48.09801,100,287.125916
45.330317,100,287.630355
64.234429,100,288.149498
46.628545,100,288.732253
53.964664,100,289.358613
40.132661,100,289.953269
52.233027,100,290.496444
73.879924,100,291.028341
57.462029,100,291.535856
71.695964,100,292.169344
48.051517,100,292.76845
36.443704,100,293.320683
59.854296,100,293.959621
73.701215,100,294.527293
53.336638,100,295.034961
72.405878,100,295.537951
40.780709,100,296.064499
36.604991,100,296.612835
47.52958,100,297.101865
65.222929,100,297.636276
76.879987,100,298.153095
84.476686,100,298.684108
50.392811,100,299.198302
80.20213,100,299.782388
49.721041,100,300.50903
67.23514,100,301.090375
38.444209,100,301.600375
59.851287,100,302.131465
72.313375,100,302.674824
48.351566,100,303.245333
39.641136,100,303.782432
52.262454,100,304.323309
77.076896,100,304.86435
43.117236,100,305.386443
73.835856,100,305.904335
56.939647,100,306.431405
69.707175,100,306.949669
76.094497,100,307.47475
50.233004,100,308.012003
74.615434,100,308.524756
69.537376,100,309.06396
32.486819,100,309.60058
72.46185,100,310.157087
49.145598,100,310.691022
72.35487,100,311.210007
72.353612,100,311.687363
75.107715,100,312.224919
71.897322,100,312.710282
41.380249,100,313.223862
78.078872,100,313.736457
38.125376,100,314.221813
43.175994,100,314.718391
63.018435,100,315.238054
66.910876,100,315.733836
46.054661,100,316.22012
76.782679,100,316.764366
80.280306,100,317.258471
44.903021,100,317.746081
52.562098,100,318.289658
32.83848,100,318.805882
81.563278,100,319.378639
49.822386,100,319.912334
54.55938,100,320.404507
80.044945,100,320.958839
66.184631,100,321.508112
65.29187,100,322.035296
49.219709,100,322.52664
80.183427,100,323.045714
74.492604,100,323.615255
61.718072,100,324.139253
66.636516,100,324.682933
38.955691,100,325.203396
59.41127,100,325.718684
42.734086,100,326.241007
55.247213,100,326.723595
58.938104,100,327.239028
80.519008,100,327.792039
71.263186,100,328.290909
38.745863,100,328.819697
68.957627,100,329.285057
40.248912,100,329.733779
75.743981,100,330.213952
45.342155,100,330.706201
36.578092,100,331.198132
72.293904,100,331.66715
37.217032,100,332.147383
48.040975,100,332.596554
80.351399,100,333.096756
52.610513,100,333.65751
76.731703,100,334.150699
72.547202,100,334.655147
81.873903,100,335.169358
57.327302,100,335.663667
79.077754,100,336.23242
64.211585,100,336.736593
31.027458,100,337.227138
43.499535,100,337.779464
81.128101,100,338.290706
53.406692,100,338.789002
58.849116,100,339.308878
58.284314,100,339.773921
66.81599,100,340.258063
49.625387,100,340.744516
82.888163,100,341.277712
52.080199,100,341.771199
78.043177,100,342.268835
77.18551,100,342.758093
72.805803,100,343.337498
31.506522,100,343.871097
85.590086,100,344.446457
61.955151,100,345.000146
47.268258,100,345.465869
70.7564,100,345.97049
78.708892,100,346.54031
42.679596,100,347.050167
