#{"t_start": 1677142988.008331, "env_id": "TestEnvironment-v1"}
r,l,t
75.538706,100,149.513842
67.215982,100,149.853043
69.56552,100,150.224702
50.618104,100,150.603962
56.587815,100,151.076655
72.02635,100,151.613713
57.71721,100,152.135003
43.949788,100,152.515704
62.042984,100,152.877155
60.281566,100,153.235516
66.3345,100,153.607882
78.101618,100,153.973805
75.294971,100,154.343489
75.343573,100,154.709909
77.166827,100,155.074013
54.979214,100,155.438171
54.479961,100,155.816406
74.832528,100,156.20691
77.773427,100,156.580468
69.625273,100,156.936011
72.202226,100,157.28612
73.490277,100,157.664549
80.523313,100,158.074095
58.356511,100,158.457159
75.978362,100,158.80954
56.080357,100,159.186723
63.122104,100,159.556171
65.136939,100,159.909062
76.550454,100,160.2895
69.333655,100,160.681287
80.887214,100,161.041927
66.968827,100,161.411884
56.795572,100,161.759507
61.493499,100,162.157213
75.96863,100,162.608765
77.881078,100,163.089186
72.929423,100,163.47284
71.787333,100,163.848402
56.085809,100,164.24844
48.765128,100,164.607483
42.819788,100,164.957363
59.729822,100,165.428634
79.061222,100,165.907233
62.173891,100,166.316437
67.219512,100,166.73854
70.135521,100,167.120169
77.332217,100,167.467111
71.228467,100,167.820312
50.770298,100,168.203322
76.256221,100,168.57685
54.577038,100,168.924159
62.992662,100,169.273904
72.711891,100,169.621258
64.469577,100,169.969846
80.923519,100,170.436555
64.382786,100,170.808983
80.851559,100,171.16498
55.324076,100,171.523916
82.44663,100,171.903267
54.921567,100,172.262874
62.23366,100,172.690208
66.237952,100,173.032407
59.947079,100,173.382301
70.608024,100,173.755665
54.584874,100,174.1219
71.766671,100,174.467874
68.488531,100,174.820713
66.050017,100,175.196421
69.432093,100,175.617902
70.936072,100,175.988116
66.40846,100,176.346603
77.240099,100,176.731851
54.816821,100,177.133785
79.86436,100,177.511228
55.27987,100,177.877641
69.791093,100,178.259438
59.161415,100,178.666746
67.993221,100,179.023961
64.686079,100,179.386382
63.429433,100,179.772223
72.090142,100,180.200478
74.912423,100,180.58953
63.441971,100,181.000551
60.479523,100,181.386956
82.470682,100,181.806246
53.6868,100,182.172827
72.882491,100,182.552494
63.144996,100,182.916606
73.167114,100,183.274495
67.356856,100,183.678688
48.89238,100,184.0925
83.596832,100,184.458016
51.969352,100,184.82866
55.436546,100,185.182279
59.437694,100,185.54239
70.608727,100,185.89965
58.775562,100,186.268084
55.081353,100,186.629873
67.546484,100,187.013592
58.771599,100,187.364077
75.029988,100,187.719805
50.853875,100,188.087441
59.22706,100,188.485975
73.851482,100,188.866908
68.305411,100,189.256208
72.06828,100,189.611133
74.917757,100,190.011686
82.205055,100,190.391393
70.558157,100,190.807183
71.921474,100,191.21525
80.474985,100,191.58474
63.915163,100,191.948012
55.948422,100,192.317776
51.004235,100,192.68848
42.963224,100,193.050944
76.647671,100,193.413024
66.585554,100,193.793362
72.371492,100,194.149933
65.301148,100,194.538448
57.496487,100,194.903796
62.200691,100,195.270543
80.643551,100,195.634061
78.846843,100,195.97778
73.072545,100,196.397558
75.195899,100,196.83217
70.150811,100,197.198414
61.66225,100,197.627767
80.785493,100,198.00109
50.547036,100,198.352026
72.949283,100,198.737895
78.672918,100,199.116705
80.800771,100,199.479244
75.360966,100,199.838153
56.789843,100,200.224663
